# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
4.4100000E-01,4.0335564E+00,2.1755142E+00
4.4200000E-01,4.0343581E+00,2.1785608E+00
4.4300000E-01,4.0354728E+00,2.1816990E+00
4.4400000E-01,4.0378449E+00,2.1852054E+00
4.4500000E-01,4.0402169E+00,2.1887119E+00
4.4600000E-01,4.0425889E+00,2.1922184E+00
4.4700000E-01,4.0449609E+00,2.1957248E+00
4.4800000E-01,4.0473329E+00,2.1992313E+00
4.4900000E-01,4.0497050E+00,2.2027378E+00
4.5000000E-01,4.0520770E+00,2.2062442E+00
4.5100000E-01,4.0544490E+00,2.2097507E+00
4.5200000E-01,4.0568210E+00,2.2132572E+00
4.5300000E-01,4.0598007E+00,2.2168757E+00
4.5400000E-01,4.0633808E+00,2.2206050E+00
4.5500000E-01,4.0669610E+00,2.2243343E+00
4.5600000E-01,4.0705411E+00,2.2280637E+00
4.5700000E-01,4.0741212E+00,2.2317930E+00
4.5800000E-01,4.0777014E+00,2.2355223E+00
4.5900000E-01,4.0812815E+00,2.2392516E+00
4.6000000E-01,4.0859060E+00,2.2431401E+00
4.6100000E-01,4.0907928E+00,2.2470687E+00
4.6200000E-01,4.0956795E+00,2.2509973E+00
4.6300000E-01,4.1005663E+00,2.2549258E+00
4.6400000E-01,4.1054530E+00,2.2588544E+00
4.6500000E-01,4.1103398E+00,2.2627830E+00
4.6600000E-01,4.1152266E+00,2.2667115E+00
4.6700000E-01,4.1201133E+00,2.2706401E+00
4.6800000E-01,4.1250001E+00,2.2745687E+00
4.6900000E-01,4.1298868E+00,2.2784972E+00
4.7000000E-01,4.1353609E+00,2.2824065E+00
4.7100000E-01,4.1418659E+00,2.2862818E+00
4.7200000E-01,4.1483709E+00,2.2901572E+00
4.7300000E-01,4.1548760E+00,2.2940325E+00
4.7400000E-01,4.1613810E+00,2.2979078E+00
4.7500000E-01,4.1678860E+00,2.3017832E+00
4.7600000E-01,4.1743910E+00,2.3056585E+00
4.7700000E-01,4.1810639E+00,2.3095381E+00
4.7800000E-01,4.1887873E+00,2.3134441E+00
4.7900000E-01,4.1965107E+00,2.3173502E+00
4.8000000E-01,4.2042341E+00,2.3212563E+00
4.8100000E-01,4.2119575E+00,2.3251624E+00
4.8200000E-01,4.2196809E+00,2.3290685E+00
4.8300000E-01,4.2274043E+00,2.3329746E+00
4.8400000E-01,4.2351277E+00,2.3368807E+00
4.8500000E-01,4.2428511E+00,2.3407868E+00
4.8600000E-01,4.2505745E+00,2.3446929E+00
4.8700000E-01,4.2582979E+00,2.3485989E+00
4.8800000E-01,4.2660213E+00,2.3525050E+00
4.8900000E-01,4.2751626E+00,2.3564663E+00
4.9000000E-01,4.2845095E+00,2.3604355E+00
4.9100000E-01,4.2938565E+00,2.3644048E+00
4.9200000E-01,4.3032034E+00,2.3683741E+00
4.9300000E-01,4.3125504E+00,2.3723433E+00
4.9400000E-01,4.3218973E+00,2.3763126E+00
4.9500000E-01,4.3312443E+00,2.3802818E+00
4.9600000E-01,4.3407366E+00,2.3842334E+00
4.9700000E-01,4.3523805E+00,2.3879234E+00
4.9800000E-01,4.3640245E+00,2.3916134E+00
4.9900000E-01,4.3756684E+00,2.3953034E+00
5.0000000E-01,4.3873124E+00,2.3989934E+00
5.0100000E-01,4.3989564E+00,2.4026834E+00
5.0200000E-01,4.4106003E+00,2.4063733E+00
5.0300000E-01,4.4222443E+00,2.4100633E+00
5.0400000E-01,4.4338882E+00,2.4137533E+00
5.0500000E-01,4.4455322E+00,2.4174433E+00
5.0600000E-01,4.4571761E+00,2.4211333E+00
5.0700000E-01,4.4688201E+00,2.4248233E+00
5.0800000E-01,4.4804641E+00,2.4285133E+00
