Measured X,Measured Y,J  X,J  Y,Jph1 X,Jph1 Y,Jph2 X,Jph2 Y,Jph3 X,Jph3 Y,Jph4 X,Jph4 Y,Jph5 X,Jph5 Y,Jph6 X,Jph6 Y,Jph7 X,Jph7 Y,Jph8 X,Jph8 Y,Jph9 X,Jph9 Y,Jph10 X,Jph10 Y
5.9,-2.463925,-,-,5.9,0.073004677,5.9,0.10002653,5.9,0.11608278,5.9,0.13086936,5.9,0.14862199,5.9,0.15570238,5.9,0.16489191,5.9,0.17594768,5.9,0.19620109,5.9,0.23678769
6,-3.0806953,-,-,6,0.073004677,6,0.10002653,6,0.11608278,6,0.13086936,6,0.14862199,6,0.15570238,6,0.16489191,6,0.17594768,6,0.19620109,6,0.23678769
6.1,-3.7913781,-,-,6.1,0.073004677,6.1,0.10002653,6.1,0.11608278,6.1,0.13086936,6.1,0.14862199,6.1,0.15570238,6.1,0.16489191,6.1,0.17594768,6.1,0.19620109,6.1,0.23678769
6,-3.2294844,-,-,6,0.073004677,6,0.10002653,6,0.11608278,6,0.13086936,6,0.14862199,6,0.15570238,6,0.16489191,6,0.17594768,6,0.19620109,6,0.23678769
5.9,-2.6490125,-,-,5.9,0.073004677,5.9,0.10002653,5.9,0.11608278,5.9,0.13086936,5.9,0.14862199,5.9,0.15570238,5.9,0.16489191,5.9,0.17594768,5.9,0.19620109,5.9,0.23678769
5.8,-2.1069328,-,-,5.8,0.073004677,5.8,0.10002653,5.8,0.11608278,5.8,0.13086936,5.8,0.14862199,5.8,0.15570238,5.8,0.16489191,5.8,0.17594768,5.8,0.19620109,5.8,0.23678769
5.7,-1.6388078,-,-,5.7,0.073004677,5.7,0.10002653,5.7,0.11608278,5.7,0.13086936,5.7,0.14862199,5.7,0.15570238,5.7,0.16489191,5.7,0.17594768,5.7,0.19620109,5.7,0.23678769
5.6,-1.2237312,-,-,5.6,0.073004677,5.6,0.10002653,5.6,0.11608278,5.6,0.13086936,5.6,0.14862199,5.6,0.15570238,5.6,0.16489191,5.6,0.17594768,5.6,0.19620109,5.6,0.23678769
5.5,-0.90770359,-,-,5.5,0.073004677,5.5,0.10002653,5.5,0.11608278,5.5,0.13086936,5.5,0.14862199,5.5,0.15570238,5.5,0.16489191,5.5,0.17594768,5.5,0.19620109,5.5,0.23678769
5.4,-0.65394859,-,-,5.4,0.073004677,5.4,0.10002653,5.4,0.11608278,5.4,0.13086936,5.4,0.14862199,5.4,0.15570238,5.4,0.16489191,5.4,0.17594768,5.4,0.19620109,5.4,0.23678769
5.3,-0.45653344,-,-,5.3,0.073004677,5.3,0.10002653,5.3,0.11608278,5.3,0.13086936,5.3,0.14862199,5.3,0.15570238,5.3,0.16489191,5.3,0.17594768,5.3,0.19620109,5.3,0.23678769
5.2,-0.30632063,-,-,5.2,0.073004677,5.2,0.10002653,5.2,0.11608278,5.2,0.13086936,5.2,0.14862199,5.2,0.15570238,5.2,0.16489191,5.2,0.17594768,5.2,0.19620109,5.2,0.23678769
5.1,-0.19514844,-,-,5.1,0.073004677,5.1,0.10002653,5.1,0.11608278,5.1,0.13086936,5.1,0.14862199,5.1,0.15570238,5.1,0.16489191,5.1,0.17594768,5.1,0.19620109,5.1,0.23678769
5,-0.110209,-,-,5,0.073004677,5,0.10002653,5,0.11608278,5,0.13086936,5,0.14862199,5,0.15570238,5,0.16489191,5,0.17594768,5,0.19620109,5,0.23678769
4.9,-0.050611906,-,-,4.9,0.073004677,4.9,0.10002653,4.9,0.11608278,4.9,0.13086936,4.9,0.14862199,4.9,0.15570238,4.9,0.16489191,4.9,0.17594768,4.9,0.19620109,4.9,0.23678769
4.8,-0.0053411531,-,-,4.8,0.073004677,4.8,0.10002653,4.8,0.11608278,4.8,0.13086936,4.8,0.14862199,4.8,0.15570238,4.8,0.16489191,4.8,0.17594768,4.8,0.19620109,4.8,0.23678769
4.7,0.026567969,-,-,4.7,0.073004677,4.7,0.10002653,4.7,0.11608278,4.7,0.13086936,4.7,0.14862199,4.7,0.15570238,4.7,0.16489191,4.7,0.17594768,4.7,0.19620109,4.7,0.23678769
4.6,0.049542375,-,-,4.6,0.073004677,4.6,0.10002653,4.6,0.11608278,4.6,0.13086936,4.6,0.14862199,4.6,0.15570238,4.6,0.16489191,4.6,0.17594768,4.6,0.19620109,4.6,0.23678769
4.5,0.063480047,-,-,4.5,0.073004677,4.5,0.10002653,4.5,0.11608278,4.5,0.13086936,4.5,0.14862199,4.5,0.15570238,4.5,0.16489191,4.5,0.17594768,4.5,0.19620109,4.5,0.23678769
4.4,0.070160062,-,-,4.4,0.073004677,4.4,0.10002653,4.4,0.11608278,4.4,0.13086936,4.4,0.14862199,4.4,0.15570238,4.4,0.16489191,4.4,0.17594768,4.4,0.19620109,4.4,0.23678769
4.3,0.071612344,-,-,4.3,0.073004677,4.3,0.10002653,4.3,0.11608278,4.3,0.13086936,4.3,0.14862199,4.3,0.15570238,4.3,0.16489191,4.3,0.17594768,4.3,0.19620109,4.3,0.23678769
4.2,0.071919563,-,-,4.2,0.073004677,4.2,0.10002653,4.2,0.11608278,4.2,0.13086936,4.2,0.14862199,4.2,0.15570238,4.2,0.16489191,4.2,0.17594768,4.2,0.19620109,4.2,0.23678769
4.1,0.071795453,-,-,4.1,0.073004677,4.1,0.10002653,4.1,0.11608278,4.1,0.13086936,4.1,0.14862199,4.1,0.15570238,4.1,0.16489191,4.1,0.17594768,4.1,0.19620109,4.1,0.23678769
4,0.071369531,-,-,4,0.073004677,4,0.10002653,4,0.11608278,4,0.13086936,4,0.14862199,4,0.15570238,4,0.16489191,4,0.17594768,4,0.19620109,4,0.23678769
3.9,0.071837219,-,-,3.9,0.073004677,3.9,0.10002653,3.9,0.11608278,3.9,0.13086936,3.9,0.14862199,3.9,0.15570238,3.9,0.16489191,3.9,0.17594768,3.9,0.19620109,3.9,0.23678769
3.8,0.071646547,-,-,3.8,0.073004677,3.8,0.10002653,3.8,0.11608278,3.8,0.13086936,3.8,0.14862199,3.8,0.15570238,3.8,0.16489191,3.8,0.17594768,3.8,0.19620109,3.8,0.23678769
3.7,0.071715719,-,-,3.7,0.073004677,3.7,0.10002653,3.7,0.11608278,3.7,0.13086936,3.7,0.14862199,3.7,0.15570238,3.7,0.16489191,3.7,0.17594768,3.7,0.19620109,3.7,0.23678769
3.6,0.071552641,-,-,3.6,0.073004677,3.6,0.10002653,3.6,0.11608278,3.6,0.13086936,3.6,0.14862199,3.6,0.15570238,3.6,0.16489191,3.6,0.17594768,3.6,0.19620109,3.6,0.23678769
3.5,0.071794172,-,-,3.5,0.073004677,3.5,0.10002653,3.5,0.11608278,3.5,0.13086936,3.5,0.14862199,3.5,0.15570238,3.5,0.16489191,3.5,0.17594768,3.5,0.19620109,3.5,0.23678769
3.4,0.071478844,-,-,3.4,0.073004677,3.4,0.10002653,3.4,0.11608278,3.4,0.13086936,3.4,0.14862199,3.4,0.15570238,3.4,0.16489191,3.4,0.17594768,3.4,0.19620109,3.4,0.23678769
3.3,0.072082156,-,-,3.3,0.073004677,3.3,0.10002653,3.3,0.11608278,3.3,0.13086936,3.3,0.14862199,3.3,0.15570238,3.3,0.16489191,3.3,0.17594768,3.3,0.19620109,3.3,0.23678769
3.2,0.071855188,-,-,3.2,0.073004677,3.2,0.10002653,3.2,0.11608278,3.2,0.13086936,3.2,0.14862199,3.2,0.15570238,3.2,0.16489191,3.2,0.17594768,3.2,0.19620109,3.2,0.23678769
3.1,0.071502625,-,-,3.1,0.073004677,3.1,0.10002653,3.1,0.11608278,3.1,0.13086936,3.1,0.14862199,3.1,0.15570238,3.1,0.16489191,3.1,0.17594768,3.1,0.19620109,3.1,0.23678769
3,0.071930578,-,-,3,0.073004677,3,0.10002653,3,0.11608278,3,0.13086936,3,0.14862199,3,0.15570238,3,0.16489191,3,0.17594768,3,0.19620109,3,0.23678769
2.9,0.071733547,-,-,2.9,0.073004677,2.9,0.10002653,2.9,0.11608278,2.9,0.13086936,2.9,0.14862199,2.9,0.15570238,2.9,0.16489191,2.9,0.17594768,2.9,0.19620109,2.9,0.23678769
